suspend	"매달다, 중지하다"
suppress	"억압하다, 가라앉히다"
sustain	"견디다, 유지하다"
downwind	"바람이 불어가는 쪽으로, 순풍의"
downhill	"내리막길, 몰락"
donwstream	"하류의, 강 아래로, 하류에, 강 아래로"
downfall	"낙하, 쏟아짐, 몰락"
influx	"유입, 밀어닥침"
inhale	"들이마시다, 흡입하다"
imprision	"교도소에 넣다, 수감하다"
interior	"내부, 인테리어, 안의, 내부의"
interfere	"방해하다, 충돌하다, 간섭하다"
endemic	풍토병의 지방 특산의
enact	"제정하다, 규정하다"
enslave	"노예로 만들다, 사로잡다"
endanger	"위태롭게하다, 위험에 빠트리다"
endotoxin	내독소
eject	"쫓아내다, 추방하다, 뿜어내다"
emigration	"이민, 이주"
ecstasy	"무아경, 황홀경, 정신 혼미"
external	"외국의, 대외적인"
exterior	"외부, 외부의, 밖의, 대외적인"
extraordinary	"비상한, 비범한, 훌륭한, 특별한"
extravagant	"낭비하는, 사치스러운 기발한, 엄청난, 지나친"
outlaw	"추방하다, 불법화하다, 금지하다, 무법자, 불량배, 반역자, 추방자"
outbreak	"발발, 돌발, 급증, 폭동"
outdo	"능가하다, -보다낫다, 이기다"
abduct	"유괴하다, 납치하다, "
abnormal	"이상한, 변칙의"
abstain	"삼가다, 절제하다"
abhor	"몹시 싫어하다, 혐오하다, 증오하다"
avert	"돌리다, 외면하다, 피하다"
degrade	"퇴화시키다, 좌천시키다"
decompose	"분해하다, 부패시키다, 분석하다"
depart	"떠나다, 벗어나다, 출발하다"
diagnosis	"진단, 식별"
dialect	"방언, 지방사투리"
transatlantic	"대서양 건너편의, 대서양 횡단의, 미국인"
transplant	"이식, 이주, 식물을 옮겨 심다, 이식하다, 이주시키다"
seclusion	"격리, 은둔"
sedue	"부추기다, 유혹하다"
segregate	"분리하다, 격리하다"
cataclysm	"대재앙, 대변동"
cataract	"큰 폭포, 홍수, 백내장"
catabolism	"이화작용, 분해 대사"
catapult	"투석기, 장난감 새총"
compact	"정식 동의, 협정, 조밀한, 채우다, 압축하다"
compose	"조립하다, 구성하다, 만들다, 작곡하다"
corrput	"타락한, 부패한, 타락시키다"
sympathy	"공감, 동정심, 연민"
symmetry	"대칭, 균형, 조화"
synchronise	"동시에 일어나다, 시간을 맞추다"
accustom	"익숙하게 하다, 익히다"
affirm	"단언하다, 주장하다"
opportune	"적절한, 시기가 좋은, 알맞은"
appease	"달래다, 진정시키다, 충족시키다"
ashore	"물가에, 해벽에"
enrich	"풍성하게 하다, 부유하게 하다"
enliven	"생기를 주다, 활기 있게 만들다"
amaze	깜짝 놀라게 하다
perfume	"향수, 향기"
semicircle	"반원, 반원형"
semipermeable	반투성의
semiconductor	반도체
hemisphere	"반구, 반구체, 범위, 영역"
semifinal	"준결승, 준결승의"
uniform	"한결같은, 균일한, 유니폼, 제복"
union	"연합, 결합, 노동조합"
unification	"통일, 단일화, 통합"
monarchy	"군주정치, 군주제"
monologue	"독백, 혼자만의 이야기"
monomer	"단량체, 모노머"
monotonous	"단조로운, 지루한"
biannual	일년에 두 번씩
dichotomy	"이분법, 양분"
bilingual	"2개 국어를 하는, 이중언어의"
twin	쌍둥이
trigonometry	"삼각법, 삼각술"
tripod	"삼각대, 세 개의 다리"
